%	omega		f, kHz		S0			   A0			  SH0
    0.015704     2.499332   0.291141E-02   0.711426E-01   0.503017E-02
    0.021979     3.497997   0.407477E-02   0.842259E-01   0.703999E-02
    0.028253     4.496662   0.523794E-02   0.955653E-01   0.904989E-02
    0.034528     5.495327   0.640131E-02   0.105723E+00   0.110598E-01
    0.040803     6.493992   0.756460E-02   0.115013E+00   0.130698E-01
    0.047078     7.492657   0.872800E-02   0.123631E+00   0.150796E-01
    0.053353     8.491322   0.989124E-02   0.131708E+00   0.170895E-01
    0.059627     9.489987   0.110546E-01   0.139340E+00   0.190994E-01
    0.065902    10.488652   0.122179E-01   0.146595E+00   0.211093E-01
    0.072177    11.487316   0.133813E-01   0.153526E+00   0.231191E-01
    0.078452    12.485981   0.145446E-01   0.160177E+00   0.251291E-01
    0.084727    13.484646   0.157079E-01   0.166581E+00   0.271390E-01
    0.091001    14.483311   0.168712E-01   0.172764E+00   0.291488E-01
    0.097276    15.481976   0.180347E-01   0.178751E+00   0.311587E-01
    0.103551    16.480641   0.191980E-01   0.184559E+00   0.331686E-01
    0.109826    17.479306   0.203614E-01   0.190206E+00   0.351785E-01
    0.116101    18.477971   0.215247E-01   0.195706E+00   0.371885E-01
    0.122375    19.476636   0.226882E-01   0.201070E+00   0.391984E-01
    0.128650    20.475300   0.238515E-01   0.206309E+00   0.412083E-01
    0.134925    21.473965   0.250149E-01   0.211432E+00   0.432182E-01
    0.141200    22.472630   0.261783E-01   0.216448E+00   0.452280E-01
    0.147474    23.471295   0.273417E-01   0.221365E+00   0.472379E-01
    0.153749    24.469960   0.285051E-01   0.226187E+00   0.492479E-01
    0.160024    25.468625   0.296686E-01   0.230922E+00   0.512577E-01
    0.166299    26.467290   0.308320E-01   0.235575E+00   0.532677E-01
    0.172574    27.465955   0.319955E-01   0.240149E+00   0.552775E-01
    0.178848    28.464619   0.331590E-01   0.244651E+00   0.572874E-01
    0.185123    29.463284   0.343224E-01   0.249084E+00   0.592972E-01
    0.191398    30.461949   0.354859E-01   0.253451E+00   0.613072E-01
    0.197673    31.460614   0.366494E-01   0.257755E+00   0.633171E-01
    0.203948    32.459279   0.378129E-01   0.262001E+00   0.653270E-01
    0.210222    33.457944   0.389764E-01   0.266190E+00   0.673369E-01
    0.216497    34.456609   0.401399E-01   0.270325E+00   0.693467E-01
    0.222772    35.455274   0.413035E-01   0.274409E+00   0.713566E-01
    0.229047    36.453939   0.424671E-01   0.278444E+00   0.733666E-01
    0.235322    37.452603   0.436306E-01   0.282432E+00   0.753764E-01
